Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,Change(%),MA5
2026-08-10 00:00:00+08:00,2390.0,2410.0,2380.0,2380.0,18892633,0.0,0.0,2330.TW,,2380.0
2026-08-11 00:00:00+08:00,2390.0,2405.0,2375.0,2395.0,15907911,0.0,0.0,2330.TW,0.6303,2387.5
2026-08-12 00:00:00+08:00,2405.0,2415.0,2390.0,2415.0,17709219,0.0,0.0,2330.TW,0.8351,2396.6667
2026-08-13 00:00:00+08:00,2440.0,2445.0,2425.0,2435.0,21187598,0.0,0.0,2330.TW,0.8282,2406.25
2026-08-14 00:00:00+08:00,2435.0,2440.0,2395.0,2395.0,18950570,0.0,0.0,2330.TW,-1.6427,2404.0
2026-08-17 00:00:00+08:00,2410.0,2420.0,2390.0,2400.0,12531972,0.0,0.0,2330.TW,0.2088,2408.0
2026-08-18 00:00:00+08:00,2415.0,2415.0,2375.0,2380.0,17294892,0.0,0.0,2330.TW,-0.8333,2405.0
2026-08-19 00:00:00+08:00,2340.0,2355.0,2335.0,2350.0,20098985,0.0,0.0,2330.TW,-1.2605,2392.0
2026-08-20 00:00:00+08:00,2365.0,2375.0,2350.0,2375.0,15159960,0.0,0.0,2330.TW,1.0638,2380.0
2026-08-21 00:00:00+08:00,2375.0,2410.0,2365.0,2410.0,15768427,0.0,0.0,2330.TW,1.4737,2383.0
2026-08-24 00:00:00+08:00,2410.0,2410.0,2375.0,2375.0,10658045,0.0,0.0,2330.TW,-1.4523,2378.0
2026-08-25 00:00:00+08:00,2355.0,2400.0,2350.0,2400.0,12843032,0.0,0.0,2330.TW,1.0526,2382.0
2026-08-26 00:00:00+08:00,2375.0,2425.0,2375.0,2415.0,17662672,0.0,0.0,2330.TW,0.625,2395.0
2026-08-27 00:00:00+08:00,2430.0,2435.0,2410.0,2410.0,16247745,0.0,0.0,2330.TW,-0.207,2402.0
2026-08-28 00:00:00+08:00,2440.0,2445.0,2410.0,2420.0,13601211,0.0,0.0,2330.TW,0.4149,2404.0
2026-08-31 00:00:00+08:00,2395.0,2405.0,2375.0,2405.0,27171787,0.0,0.0,2330.TW,-0.6198,2410.0
2026-09-01 00:00:00+08:00,2395.0,2440.0,2390.0,2440.0,17216484,0.0,0.0,2330.TW,1.4553,2418.0
2026-09-02 00:00:00+08:00,2415.0,2420.0,2385.0,2385.0,23380223,0.0,0.0,2330.TW,-2.2541,2412.0
